,ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,episode_name,episode_show_name,reason_start,reason_end
2544,2021-11-07T20:07:08Z,176047,Runaway With It - Acoustic,HRVY,Runaway With It,,,trackdone,trackdone
2545,2021-11-07T20:10:45Z,217000,One Kiss,Jacob Wellfair,One Kiss,,,trackdone,trackdone
2546,2021-11-07T22:13:33Z,124861,What A Shame - Acoustic,Leyla Blue,What A Shame,,,trackdone,logout
2547,2021-11-07T22:56:31Z,222270,Attention - Live from Spotify Studios NYC,Charlie Puth,Spotify Singles,,,fwdbtn,trackdone
2548,2021-11-07T23:01:59Z,266720,Elastic Heart - Live from The Village,Sia,Spotify Sessions,,,trackdone,trackdone
2549,2021-11-07T23:05:39Z,219066,please,Chelsea Cutler,brent,,,trackdone,trackdone
2550,2021-11-07T23:11:35Z,213934,penhasco. - (acústico),Luísa Sonza,penhasco.,,,trackdone,trackdone
2551,2021-11-07T23:14:47Z,191444,Don't Start Now,Ingrid Andress,Spotify Singles,,,trackdone,trackdone
2552,2021-11-07T23:17:59Z,191986,Blame It On Me - Acoustic,Melanie C,Blame It On Me,,,trackdone,trackdone
2553,2021-11-07T23:22:15Z,254853,Sunday Morning - Acoustic,Maroon 5,1.22.03 Acoustic,,,trackdone,trackdone
2554,2021-11-07T23:27:07Z,291960,All of Me - Live from Spotify Milan,John Legend,Spotify Sessions,,,trackdone,trackdone
2555,2021-11-07T23:31:38Z,269946,"How to Save a Life - Live in Nashville, TN - December 2006",The Fray,Acoustic In Nashville - Bootleg No. 2,,,trackdone,trackdone
2556,2021-11-07T23:35:15Z,185975,Veneno - Recorded At Spotify Studios NYC,Anitta,Spotify Singles,,,trackdone,trackdone
2557,2021-11-07T23:39:19Z,243955,America,Mabes,Wait & See,,,trackdone,trackdone
2558,2021-11-07T23:43:13Z,232906,Make Me (Cry) - Acoustic Version,Noah Cyrus,Make Me (Cry),,,trackdone,trackdone
2559,2021-11-07T23:46:24Z,160400,Ghost - Live From Spotify NYC,Halsey,Spotify Sessions,,,trackdone,trackdone
2560,2021-11-07T23:49:46Z,201586,Soon Youll Get Better (feat. The Chicks),Taylor Swift,Lover,,,trackdone,trackdone
2561,2021-11-08T01:47:19Z,30791,Your Power,Billie Eilish,Happier Than Ever,,,trackdone,logout
2562,2021-11-08T17:45:04Z,212720,Falling Like The Stars,James Arthur,Falling Like The Stars,,,clickrow,trackdone
2563,2021-11-08T17:48:01Z,176586,Use Somebody - Recorded at Spotify Studios NYC,Shawn Mendes,Spotify Singles,,,trackdone,trackdone
2564,2021-11-08T17:52:00Z,238220,I Don't Care - Acoustic,Ed Sheeran,I Don't Care,,,trackdone,trackdone
2565,2021-11-08T17:56:19Z,259040,The One That Got Away - Acoustic,Katy Perry,Teenage Dream: The Complete Confection,,,trackdone,trackdone
